District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Tirap,18420.0,184.20000000000002,10186.259999999998,6500.0,97.5,3159.0
Lower Subansiri,18112.0,271.68,10360.064,,,
Kurung Kumey,18603.0,2325.375,7887.672,1092.0,55.69199999999999,480.48
Dibang Valley,2055.0,147.96,875.43,1175.0,65.8,513.475
Lower Dibang Valley,12000.0,384.0,5124.000000000001,3950.0,146.15000000000003,2275.2000000000003
Lohit,33599.0,2015.9399999999998,13036.411999999998,11372.0,409.39200000000005,5447.188
Anjaw,6025.0,361.5,2416.025,,,
Mon,43607.0,610.4979999999999,14869.987000000001,7415.0,415.23999999999995,3336.75
Mokokchung,37536.0,187.68,24323.328,,,
Zunheboto,31267.0,531.539,16821.645999999997,6044.0,12.088000000000001,3735.192
Wokha,38499.0,384.99,18171.528000000002,8170.0,16.34,6323.58
Dimapur,49116.0,1571.712,25245.624,62853.0,1319.913,38968.86
Phek,38903.0,933.672,16650.484,7295.0,29.18,4362.41
Tuensang,,,,9451.0,292.981,3988.3220000000006
Longleng,12686.0,279.09200000000004,3983.404,2451.0,137.25599999999997,747.555
Kiphire,16032.0,160.32,6653.28,4290.0,17.16,2955.8100000000004
Kohima,31845.0,191.07,20794.785,44255.0,840.845,28721.495000000003
Peren,20204.0,181.836,9192.82,4073.0,85.533,1466.28
Senapati,38008.0,836.176,14291.008,1826.0,32.868,604.4060000000001
Tamenglong,23982.0,2014.488,8369.717999999999,4119.0,428.37600000000003,1375.7459999999999
Churachandpur,52972.0,1218.356,22989.847999999998,4853.0,111.619,2057.672
Bishnupur,34977.0,2063.643,20426.568,21172.0,868.0519999999999,13634.768
Thoubal,65961.0,3627.855,39642.561,38302.0,1991.7040000000002,25547.434
Imphal West,51055.0,2705.915,31092.495,85746.0,3772.8240000000005,54705.948000000004
Imphal East,64421.0,2963.366,37557.443,46520.0,1488.64,29633.24
Ukhrul,36084.0,1876.3680000000002,8660.16,5806.0,243.852,2188.862
Chandel,30377.0,1245.4569999999999,11360.998,3783.0,590.148,1532.115
Mamit,16726.0,986.8340000000001,7275.81,4129.0,41.29,3146.2980000000002
Kolasib,9669.0,212.71800000000002,4824.831,12507.0,300.168,7241.553
Aizawl,20570.0,349.69,12876.82,80341.0,562.387,65558.256
Champhai,18395.0,882.96,8535.279999999999,12717.0,190.755,6803.595
Serchhip,7472.0,463.264,3078.4640000000004,8018.0,769.7280000000001,3471.794
Lunglei,21479.0,837.681,9772.945,17315.0,138.52,12362.910000000002
Lawngtlai,21993.0,1143.6360000000002,9654.927,,,
Saiha,7043.0,366.23600000000005,4359.617,5784.0,133.032,3933.1200000000003
West Tripura,289621.0,11584.84,156684.961,217016.0,7812.576000000001,137371.128
